,Ticker,Latest_Price,Score,SMA_150,SMA_200,52_Week_Low,52_Week_High
0,MSFT,399.0400085449219,72,380.84,368.17,295.25,430.82
0,NVDA,826.3200073242188,100,617.32,576.61,266.25,974.0
0,GOOGL,156.0,83,140.41,137.91,103.54,160.22
0,GOOG,157.9499969482422,83,141.73,139.06,104.42,161.7
0,AMZN,173.6699981689453,92,155.72,150.65,101.15,189.77
0,META,441.3800048828125,97,395.33,372.07,229.85,531.49
0,LLY,724.8699951171875,98,654.59,619.84,380.77,800.78
0,AVGO,1294.4200439453125,99,1100.15,1040.29,601.29,1438.17
0,JPM,193.3699951171875,83,166.72,162.07,131.81,200.94
0,COST,721.8599853515625,87,648.65,620.85,476.75,787.08
0,BAC,37.90999984741211,76,31.92,31.28,24.96,38.49
0,CRM,273.1400146484375,79,258.17,248.06,190.76,318.71
0,NFLX,564.7999877929688,96,506.93,487.2,315.62,639.0
0,WFC,59.93000030517578,91,48.42,46.99,36.4,61.76
0,QCOM,163.3000030517578,84,140.56,134.14,101.47,177.59
0,CAT,338.0,93,295.94,289.51,204.04,382.01
0,GE,161.25999450683594,98,110.15,105.12,77.09,163.65
0,INTU,626.3900146484375,84,592.84,571.97,400.22,671.01
0,AXP,237.1000061035156,89,186.69,180.62,140.91,240.55
0,IBM,168.91000366210938,79,166.49,159.77,120.55,199.18
0,AMAT,197.5,97,168.13,162.08,109.15,214.91
0,COP,130.11000061035156,73,116.99,116.41,95.7,135.18
0,BX,123.36000061035156,84,116.45,113.05,79.92,133.56
0,NOW,716.25,91,693.8,663.88,427.68,815.32
0,UBER,69.30999755859375,99,62.58,58.45,29.22,82.14
0,SCHW,74.88999938964844,86,62.58,62.18,45.65,75.55
0,ETN,317.1000061035156,98,253.09,243.79,162.04,331.47
0,MU,111.58000183105467,97,86.14,81.4,59.55,130.54
0,PGR,210.07000732421875,91,173.81,162.7,111.41,216.21
0,BKNG,3502.47998046875,73,3343.02,3270.58,2456.93,3918.0
0,C,61.790000915527344,77,50.45,48.56,38.17,63.9
0,LRCX,901.469970703125,97,789.62,757.47,493.42,1007.39
0,BSX,73.26000213623047,80,59.75,57.88,48.35,74.39
0,ABNB,163.00999450683594,80,142.25,141.53,103.55,170.1
0,CI,354.510009765625,82,313.65,305.68,240.5,365.71
0,PANW,288.7900085449219,91,286.61,273.9,176.3,380.84
0,KLAC,672.9500122070312,97,585.24,559.46,369.0,729.15
0,CMG,3111.969970703125,90,2370.43,2264.48,1768.64,3145.69
0,WM,212.6999969482422,75,183.2,177.35,149.71,214.54
0,ANET,264.760009765625,95,241.26,225.96,131.68,307.74
0,SNPS,530.1099853515625,82,529.17,509.02,362.06,629.38
0,GD,284.8999938964844,76,256.15,246.73,202.35,296.5
0,SHW,304.8099975585937,72,294.2,287.92,221.76,348.37
0,MPC,199.50999450683597,95,164.53,158.0,104.32,221.11
0,APH,119.01000213623048,93,97.83,94.89,72.77,119.59
0,MCK,539.9400024414062,87,484.61,467.89,352.34,543.0
0,PH,549.3800048828125,96,468.14,451.59,312.36,570.15
0,TDG,1256.5799560546875,96,1031.14,985.67,745.65,1265.25
0,MAR,241.94000244140625,86,223.56,217.55,162.78,260.57
0,TT,299.3699951171875,94,248.48,236.26,162.04,306.98
0,CTAS,665.25,87,582.19,560.93,440.01,704.84
0,PSX,157.24000549316406,94,134.13,128.21,89.74,174.08
0,PXD,275.1499938964844,76,235.9,232.7,196.75,278.83
0,USB,40.9900016784668,73,38.79,38.06,27.27,45.85
0,ECL,219.7899932861328,75,197.3,193.4,156.72,231.86
0,EMR,109.5999984741211,76,98.46,97.45,76.94,115.26
0,NXPI,238.0800018310547,88,216.36,213.67,155.31,264.26
0,RSG,193.55999755859372,81,167.43,162.37,135.33,193.82
0,CEG,188.00999450683597,100,135.41,127.27,74.91,198.83
0,PCAR,112.62000274658205,92,98.92,94.66,68.4,125.5
0,COF,145.97000122070312,90,122.54,118.56,83.93,149.94
0,VLO,167.1300048828125,88,139.45,136.75,104.18,184.79
0,SPG,142.72999572753906,76,132.12,127.37,100.17,157.82
0,CPRT,55.220001220703125,80,49.78,48.48,38.53,58.58
0,GM,45.619998931884766,80,35.74,35.6,26.3,46.04
0,TFC,37.970001220703125,70,33.73,32.74,25.56,39.29
0,HLT,203.92999267578125,82,181.37,173.86,134.43,215.79
0,AIG,74.62999725341797,84,67.8,65.54,48.95,78.95
0,MCHP,92.20999908447266,71,83.48,83.35,68.75,94.3
0,WMB,39.45000076293945,79,35.16,34.65,28.27,39.76
0,COR,239.75999450683597,83,213.97,206.17,163.37,246.75
0,OKE,81.37999725341797,72,70.2,68.54,55.91,81.81
0,DHI,144.1999969482422,75,136.6,132.68,100.08,165.75
0,GWW,947.8400268554688,77,856.7,821.62,641.95,1034.18
0,URI,690.9199829101562,98,563.91,537.59,325.15,732.37
0,ALL,172.33999633789062,90,144.97,135.38,100.57,176.93
0,DLR,141.49000549316406,82,133.76,130.53,86.33,154.18
0,BK,57.18000030517578,80,50.23,48.58,39.65,58.28
0,LEN,152.7899932861328,77,140.01,135.24,102.9,172.59
0,AMP,410.9100036621094,77,374.68,366.15,279.85,440.67
0,AME,177.92999267578125,71,163.53,161.68,133.77,186.33
0,FIS,70.47000122070312,70,60.82,59.71,46.91,74.75
0,PRU,111.18000030517578,76,101.67,99.25,77.22,118.69
0,CMI,291.6099853515625,70,246.91,244.64,203.18,304.25
0,PWR,255.19000244140625,89,208.38,206.94,153.74,265.82
0,IR,92.02999877929688,93,78.1,75.34,54.54,96.17
0,FANG,207.1000061035156,91,165.03,159.44,123.41,211.96
0,MLM,597.0700073242188,94,505.74,490.41,345.03,626.67
0,RCL,137.47000122070312,99,114.78,111.34,59.38,141.7
0,IT,446.30999755859375,86,429.64,409.36,293.73,486.54
0,VMC,258.5400085449219,88,231.46,228.15,166.55,276.58
0,CDW,243.4199981689453,84,225.61,219.0,162.59,263.37
0,MPWR,660.3400268554688,86,592.55,573.23,383.19,778.15
0,FICO,1193.6600341796875,94,1123.8,1058.41,714.63,1349.75
0,HIG,99.08999633789062,83,84.47,81.23,67.05,103.64
0,WAB,163.17999267578125,95,126.1,122.53,91.89,167.49
0,GRMN,143.02999877929688,89,124.72,119.39,95.4,149.54
0,HWM,64.80000305175781,87,55.98,54.21,42.18,69.55
0,TRGP,117.68000030517578,93,92.54,89.93,67.36,117.87
0,RJF,121.9499969482422,79,110.72,109.41,82.0,131.19
0,CAH,103.80999755859376,70,102.63,99.18,77.56,116.04
0,FITB,36.81999969482422,87,31.11,29.91,22.46,37.41
0,NVR,7725.0,73,6877.39,6720.53,5210.49,8211.4
0,BRO,82.27999877929688,70,76.48,75.21,61.71,87.99
0,PHM,111.36000061035156,95,96.69,92.63,64.7,121.08
0,AXON,306.239990234375,80,255.57,241.03,175.37,329.87
0,BR,195.55999755859372,79,192.25,188.14,140.06,210.24
0,WDC,69.44000244140625,99,54.04,50.97,32.01,76.92
0,IRM,77.26000213623047,84,67.7,65.75,52.82,82.19
0,BLDR,185.25999450683597,98,160.86,155.76,90.35,214.7
0,CPAY,302.0799865722656,81,271.72,269.29,204.04,319.94
0,DECK,806.5,95,725.05,679.17,424.36,956.17
0,HUBB,402.2699890136719,90,338.12,332.33,248.37,429.61
0,PTC,179.8800048828125,83,167.24,161.4,120.62,194.24
0,STLD,133.02999877929688,70,120.21,115.85,90.55,151.34
0,NTAP,100.94000244140624,94,87.4,84.62,61.54,112.48
0,WRB,77.91000366210938,77,74.96,71.44,55.5,89.19
0,CBOE,181.69000244140625,73,176.88,169.24,130.92,199.0
0,EXPE,136.25,86,130.63,125.81,87.94,160.05
0,STX,87.26000213623047,92,80.41,76.05,54.47,101.26
0,SYF,44.65999984741211,91,36.03,35.26,26.59,45.33
0,LDOS,129.8800048828125,81,111.27,107.0,76.58,131.5
0,AVY,217.16000366210935,71,197.75,193.3,158.93,225.26
0,DPZ,494.7699890136719,92,412.44,406.14,285.84,508.44
0,CE,153.88999938964844,90,142.21,137.2,99.33,172.16
0,L,76.41000366210938,76,70.48,68.41,55.64,78.55
0,TXT,84.9000015258789,70,83.31,81.17,61.27,97.34
0,NRG,72.86000061035156,99,52.46,48.6,30.52,76.54
0,MAS,69.87000274658203,75,65.34,63.44,47.66,78.94
0,PKG,171.25,73,165.45,160.0,122.2,191.27
0,NWSA,24.209999084472656,81,23.45,22.65,16.35,28.0
0,NWS,24.940000534057617,83,24.39,23.47,16.49,28.92
0,KEY,14.609999656677246,81,13.05,12.5,8.54,15.86
0,VTRS,11.470000267028809,70,10.72,10.61,8.74,13.62
0,PNR,79.19999694824219,79,70.89,70.01,53.88,85.81
0,WRK,46.810001373291016,94,41.44,39.14,26.85,49.67
0,DVA,132.77000427246094,89,108.86,107.29,71.51,141.54
0,HII,275.9800109863281,80,253.52,244.98,188.51,299.5
0,FFIV,181.8500061035156,77,174.55,170.25,129.93,199.49
0,RL,166.92999267578125,87,144.96,138.62,103.17,192.03
0,BBWI,45.59999847412109,75,39.59,38.73,27.3,50.34
0,AIZ,173.63999938964844,86,166.18,158.54,116.46,189.48
0,CMA,52.150001525878906,75,48.0,47.67,28.4,57.39
